MingHim 'TENGU9' Kwok_+_0
YingChiu 'chancehangtsz' Wan_+_1
ChunWai 'CHIMEI' Wong_+_2
HoYeung 'dre9' Choi_+_3
ChunMing 'hypathor' Jark_+_4
ChunFai 'ScaRz' Wong_+_5
TsunTung 'Hukz' Ho_+_6
King-Hong 'NORRIS' Ching_+_7
Pang 'bitwOwJESUS' Tai_+_8
TszYin 'Ray' Fung_+_9
Marco 'Snappi' Pfeiffer_+_10
Michael 'Friis' Jørgensen_+_11
Lukas 'gla1ve' Rossander_+_12
Andreas 'MODDII' Fridh_+_13
Valdemar 'valde' Bjørn Vangså_+_14
Grzegorz 'SZPERO' Dziamałek_+_15
Michał 'MICHU' Müller_+_16
Damian 'Furlan' Kislowski_+_17
Mikołaj 'mouz' Karolewski_+_18
Karol 'rallen' Rodowicz_+_19
Janusz 'Snax' Pogorzelski_+_20
Jarosław 'pashaBiceps' Jarząbkowski_+_21
Filip 'NEO' Kubski_+_22
Wiktor 'TaZ' Wojtas_+_23
Paweł 'byali' Bieliński_+_24
Tahsin 'tahsiN' Broschk_+_25
Mike 'mikeS' Tuns_+_26
Kevin 'kRYSTAL' Amend_+_27
Christian 'loWel' Garcia Antoran_+_28
Stefan 'stfN' Seier_+_29
Emil 'kUcheR' Akhundov_+_30
Denis 'electronic' Sharipov_+_31
Ilya 'fix' Golovko_+_32
Anatoliy 'liTTle' Yashin_+_33
Sergey 'spaz' Skrypchik_+_34
Almaz 'almazer' Asadullin_+_35
Ruslan 'spyn' Kalakov_+_36
Anton 'Koshak' Platko_+_37
Alexandr 'Foga' Romanenko_+_38
Kiril 'PLAZ' Sidorov_+_39
Emil 'Magiskb0Y' Reif_+_40
René 'cajunb' Borg_+_41
Ruben 'RUBINO' Villarroel_+_42
Mathias 'MSL' Lauridsen_+_43
Kristian 'k0nfig' Wienecke_+_44
Adam 'friberg' Friberg_+_45
Christopher 'GeT_RiGhT' Alesund_+_46
Richard 'Xizt' Landström_+_47
Joakim 'disco doplan' Gidetun_+_48
Patrik 'f0rest' Lindberg_+_49
Finn 'karrigan' Andersen_+_50
Peter 'dupreeh' Rasmussen_+_51
Nicolai 'device' Reedtz_+_52
Andreas 'Xyp9x' Højsleth_+_53
Markus 'Kjaerbye' Kjærbye_+_54
Viktor 'v1c7oR' Dyankov_+_55
Simeon 'dream3r' Ganev_+_56
Kamen 'bubble' Kostadinov_+_57
Nikolay 'nkl' Krastev_+_58
Emiliyan 'spyleadeR' Dimitrov_+_59
Callum 'BURNRUOk' Henderson_+_60
Mark 'deStiny' Kagan_+_61
Gareth 'gazR' Lynn_+_62
Mohammed 'MoeycQ' Tizani_+_63
Nikhil 'NikkeZ' Victor_+_64
Alec 'Noisia' Gulabovski_+_65
Raymond 'Dezibel' Odisho_+_66
Bobby 'zedzke' Johnson_+_67
Georgio 'SK' Poumpoulidis_+_68
Iyen 'IyeN' Raju_+_69
Seth 'seth' Leeson_+_70
Sam 'mizu' Richardson_+_71
Dylan 'kyoto' Brown_+_72
Chris 'Chrisoaow' Forman_+_73
Peter 'pecks' Nguyen_+_74
Daniel 'iax' Rushton_+_75
Soon-Woo 'Argency' Kwon_+_76
Hyung-Ju 'Sound' Nam_+_77
Jung-Hyeon 'rindA' Jeon_+_78
Hae-Sung 'HSK' Kim_+_79
Hyun-Pyo 'XigN' Lee_+_80
Travis 'wizard' Richardson_+_81
Stuart 'sonic' Rayner_+_82
Jesse 'InfrequeNt' Barker_+_83
Connor 'chuch' Morgan_+_84
Jay 'liazz' Tregillgas_+_85
Linus 'b0bbzki' Lundqvist_+_86
Filip 'teddzy' Leksjö_+_87
Sebastian 'royk' Schacht_+_88
Mateusz 'mantuu' Wilczewski_+_89
Dustin 'DuDe' Großmann_+_90
Younes 'YOUYOU' Ait Lalla_+_91
Paul 'META' Moussajee_+_92
Paul 'Polox' Barbe_+_93
Guillaume 'XpG' Veron_+_94
Matthéo 'nonick' Canei_+_95
Alexandre 'bodyy' Pianaro_+_96
Richard 'shox' Papillon_+_97
Cédric 'RpK' Guipouy_+_98
Adil 'ScreaM' Benrlitom_+_99
Edouard 'SmithZz' Dubourdeaux_+_100
Jonas 'Lekr0' Olofsson_+_101
Olof 'olofmeister' Kajbjer_+_102
Simon 'twist' Eliasson_+_103
Dennis 'dennis' Edman_+_104
John 'wenton' Eriksson_+_105
Jaurn 'Jt' Moroney_+_106
Matthew 'Swanky' McDonald_+_107
Brett '.K9 ' Jackson_+_108
Tenzin 'zoid' Wallis_+_109
Nick 'Modd' Garner_+_110
Todd 'Crafty' Bartlett_+_111
Jebby 'JvX' James_+_112
Troy 'Troster' Coster_+_113
Tylah 'Plaxey' Mclean_+_114
Joshua 'Snez' Rogers_+_115
Augusto 'gut0' Bertora_+_116
João 'knight' Lourencin_+_117
Matheus 'KAOS' Nicolau_+_118
Matheus 'Matthew' Chaves_+_119
Allan 'invul' Diniz_+_120
Victor 'iDk' Torraca_+_121
Marcelo 'chelo' Cespedes_+_122
Gabriel 'NEKIZ' Schenato_+_123
Matheus 'peonzoid' Coletto_+_124
Thiago 'tt' Herrera_+_125
Adrian 'XELLOW' Guta_+_126
Cristian 'sXe' Nita_+_127
Cosmin-Mihai 'cosmeeeN' Butuc_+_128
Cosmin-Andrei 'WHitE' Cetanas_+_129
Valentin 'SEMINTE' Bodea_+_130
Brandon 'weber' Weber_+_131
Aaron 'AaroN' Hemmings_+_132
Max 'MiGHTYMAX' Heath_+_133
Reece 'Puls3' Marrs_+_134
Conor 'conoR' McCool_+_135
Simo 'Kiss^' Pentti_+_136
Jani 'Aerial ' Jussila_+_137
Jesse 'zehN' Linjala_+_138
Elden 'KIPSIk' Evert_+_139
Jyri 'JALLU' Tenhunen_+_140
André 'fly4' Salvert_+_141
Johan 'rb$' Viklund_+_142
Philip 'phillz0r' Berg_+_143
Samuel 'saM' Johansson_+_144
Rasmus 'kreaz' Johansson_+_145
KunHua 'LOVEYY' Bai_+_146
Bin 'Savage' Liu_+_147
WeiJie 'zhokiNg' Zhong_+_148
Zhuo 'advent' Liang_+_149
BingYuan 'tb' Li_+_150
Pavel 'COLDYY1' Veklenko_+_151
Vadim 'DavCost' Vasilyev_+_152
Dmitriy 'Dima' Bandurka_+_153
Dmitry 'S0tF1k' Forostyanko_+_154
Anton 'kibaken' Kolesnikov_+_155
Igor 'crush' Shevchenko_+_156
Savelii 'jmqa' Bragin_+_157
Vladislav 'arch' Svistov_+_158
Roman 'CyberFocus' Dergach_+_159
Tosapol 'TOR' Saekow_+_160
Patiphan 'CigaretteS' Posri_+_161
Peeratch 'Olivia' Ingkudanonda_+_162
Kitsada 'bnwGiggs' Pookarmroung_+_163
Phoomphat 'qqGOD' Phojjanart_+_164
Hui-Jae 'Epoche' Jun_+_165
Sang-Yoon 'Peach Can' Lee_+_166
Han-Geul 'R0gue' Lee_+_167
Hyun-Hak 'rAtchEw' Moon_+_168
Chun-Heum 'ReDWateR' Jung_+_169
Kyeong-Tae 'Nigiti' Nam_+_170
Bok-Hyeon 'cry' Yu_+_171
Min-Gyu 'mare' Choi_+_172
Jun-Yeong 'katam0n' Kim_+_173
Yeong-Jun 'tr1gger' Kim_+_174
KaiLun 'Alex' Chau_+_175
HoMing 'm1sSz' Tam_+_176
HoFai 'Kenny' Lo_+_177
ChungWai 'CroSSx' Chung_+_178
Moriah 'HYPEDML' Li_+_179
ChunFung 'karson' Mak_+_180
ChiYung 'matt' Tai_+_181
ChiHin 'KabaL' Ng_+_182
Maggie 'mag' Chiu_+_183
YungLun 'LUNZZ' Lee_+_184
Joey 'fxy0' Schlosser_+_185
Alexandre 'xms' Forté_+_186
Christophe 'SIXER' Xia_+_187
Valentin 'mistou' Balbastro_+_188
Engin 'MAJ3R' Kupeli_+_189
Emil 'hiffer' Ervolder_+_190
Nikolai 'pkn' Møller_+_191
Jonas 'netrick' Wenzelsen_+_192
Niels 'NaToSaphiX' Christian Sillassen_+_193
Jackie 'INX' Hansen_+_194
Sang-Uk 'allow' Park_+_195
Dong-Gyu 'Europha' Kwak_+_196
Deok-Geun 'fAwn' Cho_+_197
Seong-Tae 'rz' Kim_+_198
Hong-Gyo 'Jinx' Jung_+_199
JiaMing 'originalheart' Gu_+_200
TianXiang 'Ethan' Wu_+_201
Ming 'dmm' Dai_+_202
YiLi 'baal' Liu_+_203
